,fullname,team,birthdate,country,height,weight,Onedayraces,GC,Sprint,Climber,TT,Hills,UCI-Rank,rider_url
15,Edward  Planckaert,Alpecin - Deceuninck,1 February 1995,Belgium,1.78,71.0,527,187,360,54,18,231,1061,https://www.procyclingstats.com/rider/edward-planckaert
16,Timo  Kielich,Alpecin - Deceuninck,5 August 1999,Belgium,1.85,73.0,437,87,312,42,11,291,402,https://www.procyclingstats.com/rider/timo-kielich
17,Stan Van Tricht,Alpecin - Deceuninck,20 September 1999,Belgium,1.74,64.0,554,34,128,20,26,185,382,https://www.procyclingstats.com/rider/stan-van-tricht
18,Tobias  Bayer,Alpecin - Deceuninck,17 November 1999,Austria,1.87,71.0,193,164,88,109,36,165,1046,https://www.procyclingstats.com/rider/tobias-bayer
19,Robbe  Ghys,Alpecin - Deceuninck,11 January 1997,Belgium,1.82,72.0,194,140,175,10,2,122,2513,https://www.procyclingstats.com/rider/robbe-ghys
20,Jensen  Plowright,Alpecin - Deceuninck,15 May 2000,Australia,1.77,78.0,137,41,563,0,0,91,376,https://www.procyclingstats.com/rider/jensen-plowright
21,Senne  Leysen,Alpecin - Deceuninck,18 March 1996,Belgium,1.9,78.0,91,185,31,6,141,46,1951,https://www.procyclingstats.com/rider/senne-leysen
22,Maurice  Ballerstedt,Alpecin - Deceuninck,16 January 2001,Germany,1.85,76.0,150,88,98,22,28,88,776,https://www.procyclingstats.com/rider/maurice-ballerstedt
23,Fabio Van den Bossche,Alpecin - Deceuninck,21 September 2000,Belgium,1.76,63.0,114,142,27,25,15,75,1220,https://www.procyclingstats.com/rider/fabio-van-den-bossche
24,Juri  Hollmann,Alpecin - Deceuninck,30 August 1999,Germany,1.84,70.0,106,115,1,68,154,31,865,https://www.procyclingstats.com/rider/juri-hollmann
25,Henri  Uhlig,Alpecin - Deceuninck,1 August 2001,Germany,1.81,71.0,118,52,192,49,100,174,506,https://www.procyclingstats.com/rider/henri-uhlig
26,Lars  Boven,Alpecin - Deceuninck,13 August 2001,Netherlands,1.72,62.0,124,50,192,50,106,112,480,https://www.procyclingstats.com/rider/lars-boven
27,Luca  Vergallito,Alpecin - Deceuninck,14 September 1997,Italy,1.9,67.0,23,188,0,134,12,57,491,https://www.procyclingstats.com/rider/luca-vergallito
28,Jason  Osborne,noteam,20 March 1994,Germany,1.78,70.0,40,148,0,108,80,82,2370,https://www.procyclingstats.com/rider/jason-osborne
29,Arnaud  Démare,Arkéa - B&B Hotels,26 August 1991,France,1.81,76.0,6644,1536,4503,206,483,2554,202,https://www.procyclingstats.com/rider/arnaud-demare
30,Florian  Sénéchal,Arkéa - B&B Hotels,10 July 1993,France,1.79,77.0,3061,731,1090,100,202,1251,1847,https://www.procyclingstats.com/rider/florian-senechal
31,Clément  Venturini,Arkéa - B&B Hotels,16 October 1993,France,1.65,60.0,1500,557,805,336,93,1514,138,https://www.procyclingstats.com/rider/clement-venturini
32,Amaury  Capiot,Arkéa - B&B Hotels,25 June 1993,Belgium,1.86,69.0,2018,216,1126,127,10,813,222,https://www.procyclingstats.com/rider/amaury-capiot
33,Anthony  Delaplace,Arkéa - B&B Hotels,11 September 1989,France,1.81,65.0,1222,940,50,216,590,400,904,https://www.procyclingstats.com/rider/anthony-delaplace
34,Luca  Mozzato,Arkéa - B&B Hotels,15 February 1998,Italy,1.78,67.0,1887,141,1134,6,0,771,66,https://www.procyclingstats.com/rider/luca-mozzato
35,Daniel  McLay,Arkéa - B&B Hotels,3 January 1992,Great Britain,1.87,72.0,1241,250,1190,23,100,279,942,https://www.procyclingstats.com/rider/daniel-mclay
36,Vincenzo  Albanese,Arkéa - B&B Hotels,12 November 1996,Italy,1.75,70.0,1274,388,296,561,53,1388,98,https://www.procyclingstats.com/rider/vincenzo-albanese
37,Clément  Champoussin,Arkéa - B&B Hotels,29 May 1998,France,1.8,61.0,911,588,30,1209,71,817,147,https://www.procyclingstats.com/rider/clement-champoussin
38,Cristián  Rodríguez,Arkéa - B&B Hotels,3 March 1995,Spain,1.78,59.0,289,1272,0,1006,38,368,179,https://www.procyclingstats.com/rider/cristian-rodriguez
39,Kévin  Vauquelin,Arkéa - B&B Hotels,26 April 2001,France,1.76,69.0,461,872,48,423,694,578,79,https://www.procyclingstats.com/rider/kevin-vauquelin
40,Jenthe  Biermans,Arkéa - B&B Hotels,30 October 1995,Belgium,1.84,78.0,1169,277,292,100,56,540,128,https://www.procyclingstats.com/rider/jenthe-biermans
41,Élie  Gesbert,Arkéa - B&B Hotels,1 July 1995,France,1.81,63.0,400,763,20,614,12,422,2669,https://www.procyclingstats.com/rider/elie-gesbert
42,Matis  Louvel,Arkéa - B&B Hotels,19 July 1999,France,1.87,73.0,1012,133,100,64,67,586,556,https://www.procyclingstats.com/rider/matis-louvel
43,Łukasz  Owsian,Arkéa - B&B Hotels,24 February 1990,Poland,1.8,66.0,371,608,60,83,98,74,2411,https://www.procyclingstats.com/rider/lukasz-owsian
44,Kévin  Ledanois,noteam,13 July 1993,France,1.81,67.0,445,256,76,48,75,173,0,https://www.procyclingstats.com/rider/kevin-ledanois
45,Miles  Scotson,Arkéa - B&B Hotels,18 January 1994,Australia,1.91,76.0,191,272,22,14,708,127,0,https://www.procyclingstats.com/rider/miles-scotson
46,Thibault  Guernalec,Arkéa - B&B Hotels,31 July 1997,France,1.85,71.0,56,440,28,39,797,126,618,https://www.procyclingstats.com/rider/thibault-guernalec
47,Louis  Barré,Arkéa - B&B Hotels,6 April 2000,France,1.84,68.0,259,259,4,116,0,202,391,https://www.procyclingstats.com/rider/louis-barre
48,Ewen  Costiou,Arkéa - B&B Hotels,10 November 2002,France,1.76,64.0,230,309,10,154,100,157,262,https://www.procyclingstats.com/rider/ewen-costiou
49,David  Dekker,Arkéa - B&B Hotels,2 February 1998,Netherlands,1.9,80.0,212,42,454,17,93,190,701,https://www.procyclingstats.com/rider/david-dekker
50,Raúl  García Pierna,Arkéa - B&B Hotels,23 February 2001,Spain,1.75,67.0,57,287,6,116,239,236,337,https://www.procyclingstats.com/rider/raul-garcia-pierna
51,Simon  Guglielmi,Arkéa - B&B Hotels,1 July 1997,France,1.8,66.0,181,175,38,372,3,240,496,https://www.procyclingstats.com/rider/simon-guglielmi
52,Laurens  Huys,Arkéa - B&B Hotels,24 September 1998,Belgium,1.62,61.0,103,264,12,188,4,131,1404,https://www.procyclingstats.com/rider/laurens-huys
53,Michel  Ries,Arkéa - B&B Hotels,11 March 1998,Luxembourg,1.84,67.0,125,216,0,171,87,14,580,https://www.procyclingstats.com/rider/michel-ries
54,Alan  Riou,Arkéa - B&B Hotels,2 April 1997,France,1.76,68.0,220,65,90,0,65,83,0,https://www.procyclingstats.com/rider/alan-riou
55,Alessandro  Verre,Arkéa - B&B Hotels,17 November 2001,Italy,1.7,59.0,152,112,0,98,39,128,550,https://www.procyclingstats.com/rider/alessandro-verre
56,Mathis Le Berre,Arkéa - B&B Hotels,16 April 2001,France,1.76,68.0,114,101,30,74,0,174,561,https://www.procyclingstats.com/rider/mathis-le-berre
57,Donavan  Grondin,Arkéa - B&B Hotels,26 September 2000,France,1.84,77.0,131,56,87,6,18,58,1403,https://www.procyclingstats.com/rider/donavan-grondin
58,Geraint  Thomas,INEOS Grenadiers,25 May 1986,Great Britain,1.83,71.0,1267,6394,306,4203,5423,2692,59,https://www.procyclingstats.com/rider/geraint-thomas
59,Elia  Viviani,INEOS Grenadiers,7 February 1989,Italy,1.78,67.0,5055,993,4420,276,160,2721,513,https://www.procyclingstats.com/rider/elia-viviani
60,Michał  Kwiatkowski,INEOS Grenadiers,2 June 1990,Poland,1.76,68.0,4611,3665,279,3300,3561,3539,374,https://www.procyclingstats.com/rider/michal-kwiatkowski
61,Egan  Bernal,INEOS Grenadiers,13 January 1997,Colombia,1.75,60.0,918,4331,84,3848,566,1141,63,https://www.procyclingstats.com/rider/egan-bernal
62,Filippo  Ganna,INEOS Grenadiers,25 July 1996,Italy,1.93,83.0,579,791,248,273,5562,830,67,https://www.procyclingstats.com/rider/filippo-ganna
63,Ben  Swift,INEOS Grenadiers,5 November 1987,Great Britain,1.79,69.0,1916,960,716,568,87,1626,881,https://www.procyclingstats.com/rider/ben-swift
64,Jonathan  Castroviejo,INEOS Grenadiers,27 April 1987,Spain,1.71,62.0,263,2066,1,1070,4574,337,1188,https://www.procyclingstats.com/rider/jonathan-castroviejo
65,Thomas  Pidcock,INEOS Grenadiers,30 July 1999,Great Britain,1.7,58.0,2334,841,348,1556,137,1477,29,https://www.procyclingstats.com/rider/thomas-pidcock
66,Carlos  Rodríguez,INEOS Grenadiers,2 February 2001,Spain,1.83,67.0,496,2233,14,2224,401,490,19,https://www.procyclingstats.com/rider/carlos-rodriguez-cano
67,Ethan  Hayter,INEOS Grenadiers,18 September 1998,Great Britain,1.8,69.0,650,1297,306,703,1191,1498,351,https://www.procyclingstats.com/rider/ethan-hayter
68,Jhonatan  Narváez,INEOS Grenadiers,4 March 1997,Ecuador,1.74,65.0,1092,968,262,808,23,1152,33,https://www.procyclingstats.com/rider/jhonatan-narvaez
69,Thymen  Arensman,INEOS Grenadiers,4 December 1999,Netherlands,1.92,68.0,62,1461,23,1256,1235,456,72,https://www.procyclingstats.com/rider/thymen-arensman
70,Laurens De Plus,INEOS Grenadiers,4 September 1995,Belgium,1.9,67.0,258,1312,6,940,392,492,164,https://www.procyclingstats.com/rider/laurens-de-plus
71,Luke  Rowe,noteam,10 March 1990,Great Britain,1.85,72.0,1185,466,170,49,142,413,0,https://www.procyclingstats.com/rider/luke-rowe
72,Omar  Fraile,INEOS Grenadiers,17 July 1990,Spain,1.84,72.0,373,665,37,976,169,648,1711,https://www.procyclingstats.com/rider/omar-fraile
73,Magnus  Sheffield,INEOS Grenadiers,19 April 2002,United States,1.83,73.0,498,858,42,335,1217,699,87,https://www.procyclingstats.com/rider/magnus-sheffield
74,Tobias  Foss,INEOS Grenadiers,25 May 1997,Norway,1.84,74.0,115,634,10,446,1773,286,269,https://www.procyclingstats.com/rider/tobias-foss
75,Salvatore  Puccio,INEOS Grenadiers,31 August 1989,Italy,1.82,68.0,402,547,20,262,83,366,2848,https://www.procyclingstats.com/rider/salvatore-puccio
76,Connor  Swift,INEOS Grenadiers,30 October 1995,Great Britain,1.9,75.0,678,587,177,122,307,414,688,https://www.procyclingstats.com/rider/connor-swift
77,Óscar  Rodríguez,INEOS Grenadiers,6 May 1995,Spain,1.79,63.0,172,851,8,818,161,196,353,https://www.procyclingstats.com/rider/oscar-rodriguez
78,Joshua  Tarling,INEOS Grenadiers,15 February 2004,Great Britain,1.94,78.0,126,135,16,6,1120,26,149,https://www.procyclingstats.com/rider/joshua-tarling
79,Cameron  Wurf,INEOS Grenadiers,3 August 1983,Australia,1.71,71.0,89,579,0,32,306,5,0,https://www.procyclingstats.com/rider/cameron-wurf
80,Ben  Turner,INEOS Grenadiers,28 May 1999,Great Britain,1.94,74.0,428,234,110,41,118,276,433,https://www.procyclingstats.com/rider/ben-turner
81,Brandon Smith  Rivera,INEOS Grenadiers,21 March 1996,Colombia,1.7,60.0,47,392,21,134,240,168,254,https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas
82,Kim  Heiduk,INEOS Grenadiers,3 March 2000,Germany,1.84,70.0,108,122,116,8,75,112,857,https://www.procyclingstats.com/rider/kim-heiduk
83,Leo  Hayter,noteam,10 August 2001,Great Britain,1.78,66.0,52,117,0,72,98,64,0,https://www.procyclingstats.com/rider/leo-hayter
84,Andrew  August,INEOS Grenadiers,12 October 2005,United States,1.7,57.0,10,26,0,17,2,9,1654,https://www.procyclingstats.com/rider/andrew-august
85,Michael  Leonard,INEOS Grenadiers,26 March 2004,Canada,1.7,60.0,15,15,0,8,74,0,1298,https://www.procyclingstats.com/rider/michael-leonard1
86,Artem  Shmidt,INEOS Grenadiers,30 January 2004,United States,1.91,76.0,24,5,24,6,10,33,913,https://www.procyclingstats.com/rider/artem-shmidt
87,Mark  Cavendish,Astana Qazaqstan Team,21 May 1985,Great Britain,1.75,70.0,3067,1502,6826,79,712,2065,375,https://www.procyclingstats.com/rider/mark-cavendish
88,Alexey  Lutsenko,Astana Qazaqstan Team,7 September 1992,Kazakhstan,1.74,74.0,2397,3129,173,2650,1081,1598,187,https://www.procyclingstats.com/rider/aleksey-lutsenko
89,Alberto  Bettiol,Astana Qazaqstan Team,29 October 1993,Italy,1.8,69.0,2442,946,140,958,1000,2080,43,https://www.procyclingstats.com/rider/alberto-bettiol
90,Michael  Mørkøv,Astana Qazaqstan Team,30 April 1985,Denmark,1.83,71.0,1239,978,711,143,366,518,2650,https://www.procyclingstats.com/rider/michael-morkov
91,Davide  Ballerini,Astana Qazaqstan Team,21 September 1994,Italy,1.83,77.0,1607,215,720,222,133,1302,418,https://www.procyclingstats.com/rider/davide-ballerini
92,Simone  Velasco,Astana Qazaqstan Team,2 December 1995,Italy,1.7,59.0,1616,377,45,684,55,1164,156,https://www.procyclingstats.com/rider/simone-velasco
93,Cees  Bol,Astana Qazaqstan Team,27 July 1995,Netherlands,1.94,83.0,726,572,1220,39,306,714,356,https://www.procyclingstats.com/rider/cees-bol
94,Dmitriy  Gruzdev,Astana Qazaqstan Team,13 March 1986,Kazakhstan,1.86,78.0,598,774,10,14,863,22,368,https://www.procyclingstats.com/rider/dmitriy-gruzdev
95,Rüdiger  Selig,Astana Qazaqstan Team,19 February 1989,Germany,1.88,80.0,873,283,788,0,68,216,2397,https://www.procyclingstats.com/rider/rudiger-selig
96,Lorenzo  Fortunato,Astana Qazaqstan Team,9 May 1996,Italy,1.7,57.0,199,1332,14,1200,0,166,154,https://www.procyclingstats.com/rider/lorenzo-fortunato
97,Henok  Mulubrhan,Astana Qazaqstan Team,11 November 1999,Eritrea,1.76,60.0,687,634,260,236,182,433,180,https://www.procyclingstats.com/rider/henok-mulubrhan
98,Yevgeniy  Gidich,Astana Qazaqstan Team,19 May 1996,Kazakhstan,1.79,69.0,486,498,400,153,20,280,1030,https://www.procyclingstats.com/rider/yevgeniy-gidich
99,Max  Kanter,Astana Qazaqstan Team,22 October 1997,Germany,1.76,68.0,600,218,982,124,32,1087,233,https://www.procyclingstats.com/rider/max-kanter
100,Samuele  Battistella,Astana Qazaqstan Team,14 November 1998,Italy,1.8,67.0,594,498,86,404,117,736,387,https://www.procyclingstats.com/rider/samuele-battistella
101,Yevgeniy  Fedorov,Astana Qazaqstan Team,16 February 2000,Kazakhstan,1.93,80.0,554,184,106,26,285,70,277,https://www.procyclingstats.com/rider/yevgeniy-fedorov
102,Ide  Schelling,Astana Qazaqstan Team,6 February 1998,Netherlands,1.82,66.0,440,275,81,243,129,626,1726,https://www.procyclingstats.com/rider/ide-schelling
103,Christian  Scaroni,Astana Qazaqstan Team,16 October 1997,Italy,1.75,63.0,436,327,9,517,23,632,196,https://www.procyclingstats.com/rider/christian-scaroni
104,Harold  Tejada,Astana Qazaqstan Team,27 April 1997,Colombia,1.8,63.0,96,527,8,530,223,504,219,https://www.procyclingstats.com/rider/harold-tejada
105,Vadim  Pronskiy,Astana Qazaqstan Team,4 June 1998,Kazakhstan,1.73,58.0,37,594,11,382,48,90,1329,https://www.procyclingstats.com/rider/vadim-pronskiy
106,Anthon  Charmig,Astana Qazaqstan Team,25 March 1998,Denmark,1.82,66.0,89,577,16,209,43,276,429,https://www.procyclingstats.com/rider/anthon-charmig
107,Gleb  Syritsa,Astana Qazaqstan Team,14 April 2000,Russia,1.9,85.0,108,50,814,24,82,109,383,https://www.procyclingstats.com/rider/gleb-syritsa
108,Igor  Chzhan,Astana Qazaqstan Team,2 October 1999,Kazakhstan,1.85,71.0,179,108,49,43,165,22,693,https://www.procyclingstats.com/rider/igor-chzhan
109,Gleb  Brussenskiy,Astana Qazaqstan Team,18 April 2000,Kazakhstan,1.78,64.0,262,31,118,14,36,73,460,https://www.procyclingstats.com/rider/gleb-brussenskiy
110,Harold Martín  López,Astana Qazaqstan Team,3 December 2000,Ecuador,1.6,55.0,28,308,13,220,15,130,426,https://www.procyclingstats.com/rider/harold-martin-lopez
111,Anton  Kuzmin,Astana Qazaqstan Team,20 November 1996,Kazakhstan,1.86,66.0,59,139,50,66,113,62,1462,https://www.procyclingstats.com/rider/anton-kuzmin
112,Daniil  Marukhin,Astana Qazaqstan Team,13 February 1999,Kazakhstan,1.8,63.0,100,80,72,34,104,50,2894,https://www.procyclingstats.com/rider/daniil-marukhin
113,Michele  Gazzoli,Astana Qazaqstan Team,4 March 1999,Italy,1.8,76.0,84,38,127,48,42,161,1722,https://www.procyclingstats.com/rider/michele-gazzoli
114,Santiago  Umba,Astana Qazaqstan Team,20 November 2002,Colombia,1.7,58.0,40,133,6,98,5,76,887,https://www.procyclingstats.com/rider/santiago-umba
115,Gianmarco  Garofoli,Astana Qazaqstan Team,6 October 2002,Italy,1.81,63.0,80,67,24,70,2,186,453,https://www.procyclingstats.com/rider/gianmarco-garofoli
116,Wout  Poels,Bahrain - Victorious,1 October 1987,Netherlands,1.86,66.0,1038,4890,32,4817,916,1724,201,https://www.procyclingstats.com/rider/wout-poels
117,Pello  Bilbao,Bahrain - Victorious,25 February 1990,Spain,1.74,60.0,1525,4396,56,4612,1075,2088,47,https://www.procyclingstats.com/rider/pello-bilbao
118,Damiano  Caruso,Bahrain - Victorious,12 October 1987,Italy,1.79,67.0,835,4523,70,4230,1310,1576,441,https://www.procyclingstats.com/rider/damiano-caruso
119,Matej  Mohorič,Bahrain - Victorious,19 October 1994,Slovenia,1.86,72.0,2947,2261,570,1610,352,2789,73,https://www.procyclingstats.com/rider/matej-mohoric
120,Andrea  Pasqualon,Bahrain - Victorious,2 January 1988,Italy,1.74,68.0,2779,687,1057,360,74,1568,1002,https://www.procyclingstats.com/rider/andrea-pasqualon
121,Jack  Haig,Bahrain - Victorious,6 September 1993,Australia,1.9,67.0,661,2959,27,2444,313,1034,334,https://www.procyclingstats.com/rider/jack-haig
122,Yukiya  Arashiro,Bahrain - Victorious,22 September 1984,Japan,1.7,64.0,1733,1192,1062,246,228,413,628,https://www.procyclingstats.com/rider/yukiya-arashiro
123,Phil  Bauhaus,Bahrain - Victorious,8 July 1994,Germany,1.84,71.0,812,256,2058,0,1,1569,102,https://www.procyclingstats.com/rider/phil-bauhaus
124,Nikias  Arndt,Bahrain - Victorious,18 November 1991,Germany,1.87,77.5,895,790,404,467,1018,1651,522,https://www.procyclingstats.com/rider/nikias-arndt
125,Santiago  Buitrago,Bahrain - Victorious,26 September 1999,Colombia,1.74,59.0,373,1378,43,1610,190,577,75,https://www.procyclingstats.com/rider/santiago-buitrago-sanchez
126,Antonio  Tiberi,Bahrain - Victorious,24 June 2001,Italy,1.82,62.0,158,931,2,947,636,584,38,https://www.procyclingstats.com/rider/antonio-tiberi
127,Jasha  Sütterlin,Bahrain - Victorious,4 November 1992,Germany,1.84,78.0,340,717,106,73,1083,418,1712,https://www.procyclingstats.com/rider/jasha-sutterlin
128,Fred  Wright,Bahrain - Victorious,13 June 1999,Great Britain,1.84,75.0,510,334,156,348,415,1151,224,https://www.procyclingstats.com/rider/alfred-wright
129,Kamil  Gradek,Bahrain - Victorious,17 September 1990,Poland,1.94,81.0,206,568,78,8,719,37,1166,https://www.procyclingstats.com/rider/kamil-gradek
130,Łukasz  Wiśniowski,Bahrain - Victorious,7 December 1991,Poland,1.91,78.0,576,305,85,30,307,203,0,https://www.procyclingstats.com/rider/lukasz-wisniowski
131,Torstein  Træen,Bahrain - Victorious,16 July 1995,Norway,1.81,63.0,116,674,11,403,17,154,676,https://www.procyclingstats.com/rider/torstein-traeen
132,Edoardo  Zambanini,Bahrain - Victorious,21 April 2001,Italy,1.81,62.0,310,419,61,363,26,388,113,https://www.procyclingstats.com/rider/edoardo-zambanini
133,Dušan  Rajović,Bahrain - Victorious,19 November 1997,Serbia,1.83,74.0,229,34,652,10,291,200,890,https://www.procyclingstats.com/rider/dusan-rajovic
134,Matevž  Govekar,Bahrain - Victorious,17 April 2000,Slovenia,1.8,73.0,171,45,254,84,132,364,484,https://www.procyclingstats.com/rider/matevz-govekar
135,Robert  Stannard,Bahrain - Victorious,16 September 1998,Australia,1.79,74.0,177,157,156,302,68,652,1067,https://www.procyclingstats.com/rider/robert-stannard
136,Rainer  Kepplinger,Bahrain - Victorious,19 August 1997,Austria,1.79,70.0,10,229,0,82,161,50,951,https://www.procyclingstats.com/rider/rainer-kepplinger
137,Fran  Miholjević,Bahrain - Victorious,2 August 2002,Croatia,1.89,72.0,75,74,4,30,142,62,3084,https://www.procyclingstats.com/rider/fran-miholjevic
138,Johan  Price-Pejtersen,Bahrain - Victorious,26 May 1999,Denmark,1.96,77.0,10,48,17,0,588,0,724,https://www.procyclingstats.com/rider/johan-price-pejtersen
139,Nicolò  Buratti,Bahrain - Victorious,7 July 2001,Italy,0.0,0.0,111,38,76,22,36,120,2125,https://www.procyclingstats.com/rider/nicolo-buratti
140,Sergio  Tu,Bahrain - Victorious,24 February 1997,Taiwan,1.78,63.0,15,6,0,0,206,2,752,https://www.procyclingstats.com/rider/chih-hao-tu
141,Cameron  Scott,Bahrain - Victorious,4 January 1998,Australia,1.83,80.0,40,25,228,0,122,12,1244,https://www.procyclingstats.com/rider/cameron-scott
142,Ahmed  Madan,Bahrain - Victorious,25 August 2000,Bahrain,1.76,65.0,37,5,0,0,76,0,1168,https://www.procyclingstats.com/rider/ahmed-madan
143,Alberto  Bruttomesso,Bahrain - Victorious,30 October 2003,Italy,1.79,0.0,31,6,132,22,27,137,1219,https://www.procyclingstats.com/rider/alberto-bruttomesso
144,Daniel  Skerl,CTF Victorious,21 March 2003,Italy,1.77,0.0,20,18,180,0,0,4,707,https://www.procyclingstats.com/rider/daniel-skerl
145,Primož  Roglič,Red Bull - BORA - hansgrohe,29 October 1989,Slovenia,1.77,65.0,1877,7804,63,7772,5522,2797,8,https://www.procyclingstats.com/rider/primoz-roglic
146,Danny van Poppel,Red Bull - BORA - hansgrohe,26 July 1993,Netherlands,1.84,82.0,3236,775,3024,198,435,1656,134,https://www.procyclingstats.com/rider/danny-van-poppel
147,Aleksandr  Vlasov,Red Bull - BORA - hansgrohe,23 April 1996,Russia,1.86,68.0,1438,3613,39,3978,932,1394,26,https://www.procyclingstats.com/rider/aleksandr-vlasov
148,Bob  Jungels,Red Bull - BORA - hansgrohe,22 September 1992,Luxembourg,1.89,70.0,1220,2619,140,1644,2692,1282,605,https://www.procyclingstats.com/rider/bob-jungels
149,Daniel Felipe  Martínez,Red Bull - BORA - hansgrohe,25 April 1996,Colombia,1.72,63.0,754,2810,13,2410,1206,736,34,https://www.procyclingstats.com/rider/daniel-felipe-martinez
150,Maximilian  Schachmann,Red Bull - BORA - hansgrohe,9 January 1994,Germany,1.83,70.0,1407,1899,88,1843,1764,1710,132,https://www.procyclingstats.com/rider/maximilian-schachmann
151,Emanuel  Buchmann,Red Bull - BORA - hansgrohe,18 November 1992,Germany,1.8,59.0,778,3155,13,2867,233,821,410,https://www.procyclingstats.com/rider/emanuel-buchmann
152,Jai  Hindley,Red Bull - BORA - hansgrohe,5 May 1996,Australia,1.75,60.0,460,3097,14,2897,152,732,105,https://www.procyclingstats.com/rider/jai-hindley
153,Sergio  Higuita,Red Bull - BORA - hansgrohe,1 August 1997,Colombia,1.66,57.0,1116,2118,64,2302,130,1267,213,https://www.procyclingstats.com/rider/sergio-higuita
154,Jordi  Meeus,Red Bull - BORA - hansgrohe,1 July 1998,Belgium,1.9,80.0,1814,86,1556,32,60,697,58,https://www.procyclingstats.com/rider/jordi-meeus
155,Lennard  Kämna,Red Bull - BORA - hansgrohe,9 September 1996,Germany,1.81,65.0,260,1028,24,1750,778,567,504,https://www.procyclingstats.com/rider/lennard-kamna
156,Marco  Haller,Red Bull - BORA - hansgrohe,1 April 1991,Austria,1.78,72.0,1270,634,261,88,77,576,220,https://www.procyclingstats.com/rider/marco-haller
157,Giovanni  Aleotti,Red Bull - BORA - hansgrohe,25 May 1999,Italy,1.8,67.0,379,961,28,500,73,406,184,https://www.procyclingstats.com/rider/giovanni-aleotti
158,Roger  Adrià,Red Bull - BORA - hansgrohe,18 April 1998,Spain,1.79,64.0,972,324,46,592,43,597,71,https://www.procyclingstats.com/rider/roger-adria
159,Nico  Denz,Red Bull - BORA - hansgrohe,15 February 1994,Germany,1.83,71.0,436,368,175,218,317,530,1549,https://www.procyclingstats.com/rider/nico-denz
160,Matteo  Sobrero,Red Bull - BORA - hansgrohe,14 May 1997,Italy,1.77,63.0,242,510,31,490,1197,668,413,https://www.procyclingstats.com/rider/matteo-sobrero
161,Jonas  Koch,Red Bull - BORA - hansgrohe,25 June 1993,Germany,1.87,75.0,602,362,229,114,36,662,950,https://www.procyclingstats.com/rider/jonas-koch
162,Sam  Welsford,Red Bull - BORA - hansgrohe,19 January 1996,Australia,1.8,79.0,531,190,1101,0,78,96,280,https://www.procyclingstats.com/rider/sam-welsford
163,Cesare  Benedetti,noteam,3 August 1987,Poland,1.7,63.0,406,498,16,254,3,172,0,https://www.procyclingstats.com/rider/cesare-benedetti
